TE0725-100-2I9

Pin,    Type,           Name,   	Side
1_1,	power_in,		GND,		left		
1_2,	power_in,		GND,		left
1_3,	inout,			B35_L23_N,	left
1_4,	inout,			B35_L23_P,	left
1_5,	power_in,		33V,		left
1_6,	power_in,		VCCIO35,	left
1_7,	inout,			B35_L15_N,	left
1_8,	inout,			B35_L15_P,	left
1_9,	inout,			B35_L13_N,	left
1_10,	inout,			B35_L13_P,	left
1_11,	inout,			B35_L12_N,	left	
1_12,	inout,			B35_L12_P,	left
1_13,	inout,			B35_L22_P,	left
1_14,	inout,			B35_L22_N,	left
1_15,	inout,			B35_L17_N,	left
1_16,	inout,			B35_L17_P,	left
1_17,	inout,			B35_L18_N,	left
1_18,	inout,			B35_L18_P,	left
1_19,	inout,			B35_L14_N,	left
1_20,	inout,			B35_L14_P,	left
1_21,	inout,			B35_L16_P,	left
1_22,	inout,			B35_L16_N,	left
1_23,	inout,			B35_L9_N,	left
1_24,	inout,			B35_L9_P,	left
1_25,	inout,			B35_L10_P,	left
1_26,	inout,			B35_L10_N,	left
1_27,	inout,			B35_L8_N,	left
1_28,	inout,			B35_L8_P,	left
1_29,	inout,			B35_L11_N,	left
1_30,	inout,			B35_L11_P,	left
1_31,	inout,			B35_L3_N,	left
1_32,	inout,			B35_L3_P,	left
1_33,	inout,			B35_L2_N,	left
1_34,	inout,			B35_L2_P,	left
1_35,	inout,			B35_L7_N,	left
1_36,	inout,			B35_L7_P,	left
1_37,	inout,			B35_L1_N,	left
1_38,	inout,			B35_L1_P,	left
1_39,	inout,			B35_L5_N,	left
1_40,	inout,			B35_L5_P,	left
1_41,	inout,			B35_L6_N,	left
1_42,	inout,			B35_L6_P,	left
1_43,	inout,			B35_L19_P,	left
1_44,	inout,			B35_L19_N,	left
1_45,	power_in,		VCCIO35,	left
1_46,	power_in,		33V,		left
1_47,	inout,			B35_L4_N,	left
1_48,	inout,			B35_L4_P,	left
1_49,	power_in,		GND,		left
1_50,	power_in,		GND,		left
2_1,	power_in,		GND,		right
2_2,	power_in,		GND,		right
2_3,	inout,			B34_L24_N,	right
2_4,	inout,			B34_L24_P,	right
2_5,	power_in,		33V,		right
2_6,	power_in,		VCCIO34,	right
2_7,	inout,			B34_L21_N,	right
2_8,	inout,			B34_L21_P,	right
2_9,	inout,			B34_L18_N,	right
2_10,	inout,			B34_L18_P,	right
2_11,	inout,			B34_L22_N,	right
2_12,	inout,			B34_L22_P,	right
2_13,	inout,			B34_L20_N,	right
2_14,	inout,			B34_L20_P,	right
2_15,	inout,			B34_L23_N,	right
2_16,	inout,			B34_L23_P,	right
2_17,	inout,			B34_L10_N,	right
2_18,	inout,			B34_L10_P,	right
2_19,	inout,			B34_L19_P,	right
2_20,	inout,			B34_L19_N,	right
2_21,	inout,			B34_L8_P,	right
2_22,	inout,			B34_L8_N,	right
2_23,	inout,			B34_L9_N,	right
2_24,	inout,			B34_L9_P,	right
2_25,	inout,			B34_L7_N,	right
2_26,	inout,			B34_L7_P,	right
2_27,	inout,			B34_L13_P,	right
2_28,	inout,			B34_L13_N,	right
2_29,	inout,			B34_L12_P,	right
2_30,	inout,			B34_L12_N,	right
2_31,	inout,			B34_L11_N,	right
2_32,	inout,			B34_L11_P,	right
2_33,	inout,			B34_L14_P,	right
2_34,	inout,			B34_L14_N,	right
2_35,	inout,			B34_L16_N,	right
2_36,	inout,			B34_L16_P,	right
2_37,	inout,			B34_L17_N,	right
2_38,	inout,			B34_L17_P,	right
2_39,	inout,			B34_L15_N,	right
2_40,	inout,			B34_L15_P,	right
2_41,	inout,			B34_L3_N,	right
2_42,	inout,			B34_L3_P,	right
2_43,	inout,			B34_L1_N,	right
2_44,	inout,			B34_L1_P,	right
2_45,	power_in,		VCCIO34,	right
2_46,	power_in,		33V,		right
2_47,	inout,			B34_L4_P,	right	
2_48,	inout,			B34_L4_N,	right
2_49,	power_in,		GND,		right
2_50,	power_in,		GND,		right
