STM32F411xC/xE

Pin,    Name,			                    Side,		Type
1,      NC,                                 left,       nc
2,      (OC1B/PCINT11) PB3,                 left,       inout
3,      NC,                                 left,       nc
4,      VCC,                                left,       power_in
5,      GND,                                left,       power_in
6,      NC,                                 left,       nc
7,      (ADC7/nOC1D/CLKI/XTAL1/PCINT12) PB4,left,       inout
8,      (ADC8/OC1D/CLKO/XTAL2/PCINT13) PB5, left,       inout
9,      NC,                                 bottom,     nc
10,     (ADC9/INT0/T0/PCINT14) PB6,         bottom,     inout
11,     (ADC10/nRESET/PCINT15) PB7,         bottom,     inout
12,     NC,                                 bottom,     nc
13,     (ADC6/AIN1/PCINT7) PA7,             bottom,     inout
14,     (ADC5/AIN0/PCINT6) PA6,             bottom,     inout
15,     (ADC4/AIN2/PCINT5) PA5,             bottom,     inout
16,     NC,                                 bottom,     nc
17,     PA4 (ADC3/ICP0/PCINT4),             right,      inout
18,     AVCC,                               right,      power_in
19,     NC,                                 right,      nc
20,     NC,                                 right,      nc
21,     AGND,                               right,      power_in
22,     PA3 (AREF/PCINT3),                  right,      inout
23,     PA2 (ADC2/INT1/USCK/SCL/PCINT2),    right,      inout
24,     NC,                                 right,      nc
25,     PA1 (ADC1/DO/PCINT1),               top,        inout
26,     PA0 (ADC0/DI/SDA/PCINT0),           top,        inout
27,     NC,                                 top,        nc
28,     NC,                                 top,        nc
29,     NC,                                 top,        nc
30,     PB0 (MOSI/DI/SDA/nOC1A/PCINT8),     top,        inout
31,     PB1 (MISO/DO/OC1A/PCINT9),          top,        inout
32,     PB2 (SCK/USCK/SCL/nOC1B/PCINT10),   top,        inout
