PCF85176T

Pin,    Name,			Side,		Type
1,		BP2,			left,		out
2,		BP1,			left,		out
3,		BP3,			left,		out
4,		S0,				left,		out
5,		S1,				left,		out
6,		S2,				left,		out
7,		S3,				left,		out
8,		S4,				left,		out
9,		S5,				left,		out
10,		S6,				left,		out
11,		S7,				left,		out
12,		S8,				left,		out
13,		S9,				left,		out
14,		S10,			left,		out
15,		S11,			left,		out
16,		S12,			left,		out
17,		S13,			left,		out
18,		S14,			left,		out
19,		S15,			left,		out
20,		S16,			left,		out
21,		S17,			left,		out
22,		S18,			left,		out
23,		S19,			left,		out
24,		S20,			left,		out
25,		S21,			left,		out
26,		S22,			left,		out
27,		S23,			left,		out
28,		S24,			left,		out
29,		S25,			right,		out
30,		S26,			right,		out
31,		S27,			right,		out
32,		S28,			right,		out
33,		S29,			right,		out
34,		S30,			right,		out
35,		S31,			right,		out
36,		S32,			right,		out
37,		S33,			right,		out
38,		S34,			right,		out
39,		S35,			right,		out
40,		S36,			right,		out
41,		S37,			right,		out
42,		S38,			right,		out
43,		S39,			right,		out
44,		SDA,			right,		inout
45,		SCL,			right,		inout
46,		nSYNC,			right,		inout
47,		CLK,			right,		inout
48,		VDD,			right,		power_in
49,		OSC,			right,		in
50,		A0,				right,		in
51,		A1,				right,		in
52,		A2,				right,		in
53,		SA0,			right,		in
54,		VSS,			right,		power_in
55,		VLCD,			right,		power_in
56,		BP0,			right,		out
