STM32F411xC/xE

Pin,    Name,			Side,		Type
1,		VBAT,			left,		power_in
2,		PC13,			left,		inout
3,		PC14-OSC32_IN,	left,		inout
4,		PC15-OSC32_OUT,	left,		inout
5,		PH0-OSC_IN,		left,		inout
6,		PH0-OSC_OUT,	left,		inout
7,		NRST,			left,		inout
8,		VSSA_VREF-,		left,		power_in
9,		VDDA_VREF+,		left,		power_in
10,		PA0,			left,		inout
11,		PA1,			left,		inout
12,		PA2,			left,		inout
13,		PA3,			bottom,		inout
14,		PA4,			bottom,		inout
15,		PA5,			bottom,		inout
16,		PA6,			bottom,		inout
17,		PA7,			bottom,		inout
18,		PB0,			bottom,		inout
19,		PB1,			bottom,		inout
20,		PB2,			bottom,		inout
21,		PB10,			bottom,		inout
22,		VCAP_1,			bottom,		in
23,		VSS,			bottom,		power_in
24,		VDD,			bottom,		power_in
25,		PB12,			right,		inout
26,		PB13,			right,		inout
27,		PB14,			right,		inout
28,		PB15,			right,		inout
29,		PA8,			right,		inout
30,		PA9,			right,		inout
31,		PA10,			right,		inout
32,		PA11,			right,		inout
33,		PA12,			right,		inout
34,		PA13,			right,		inout
35,		VSS,			right,		power_in
36,		VDD,			right,		power_in
37,		PA14,			top,		inout
38,		PA15,			top,		inout
39,		PB3,			top,		inout
40,		PB4,			top,		inout
41,		PB5,			top,		inout
42,		PB6,			top,		inout
43,		PB7,			top,		inout
44,		BOOT0,			top,		in
45,		PB8,			top,		inout
46,		PB9,			top,		inout
47,		VSS,			top,		power_in
48,		VDD,			top,		power_in
